Designator,Mid X,Mid Y,Rotation,Layer
C1,72.24,-98.93,90.0,top
C10,65.26,-143.23,90.0,top
C11,133.0,-58.62,270.0,top
C12,187.25,-102.57,180.0,top
C13,187.22,-107.45,180.0,top
C14,133.0,-66.15,90.0,top
C15,135.34,-52.91,0.0,top
C16,133.0,-73.71,90.0,top
C2,122.71,-140.73,270.0,top
C3,122.74,-110.45,90.0,top
C4,178.55,-96.24,0.0,top
C5,184.99,-111.44,180.0,top
C6,122.82,-74.76,270.0,top
C7,150.32,-122.72,90.0,top
C8,150.34,-135.85,90.0,top
C9,147.955,-52.885,0.0,top
D1,86.27,-56.0,0.0,top
J1,59.69,-107.95,180.0,top
J2,164.33,-142.04,90.0,top
J3,113.25,-59.72,180.0,top
J4,68.67,-61.285,270.0,top
J5,162.99,-58.38,0.0,top
J6,182.0,-56.975,180.0,top
R1,72.25,-121.93,90.0,top
R2,72.25,-109.14,270.0,top
R3,68.85,-140.62,270.0,top
R4,72.22,-140.64,270.0,top
R5,86.5,-63.5,0.0,top
R6,178.6,-73.4,90.0,top
R7,182.0,-73.4,90.0,top
R8,185.34,-73.4,90.0,top
SW1,60.46,-70.0,0.0,top
U1,135.1,-142.04,90.0,top
U10,163.45,-94.96,0.0,top
U2,86.07,-109.23,0.0,top
U3,135.128,-107.696,0.0,top
U4,110.43,-88.75,0.0,top
U5,164.03,-128.97,90.0,top
U6,86.29,-142.13,90.0,top
U7,110.43,-129.39,0.0,top
U8,183.67,-126.9,0.0,top
U9,141.59,-65.74,0.0,top
Y1,86.08,-74.61,0.0,top
Y2,178.6,-105.01,90.0,top
